name,position,pro_team,PTS,BLK,STL,AST,REB,TO,FGM,FGA,FTM,FTA,3PTM,3PTA,FG%,FT%,3PT%,MPG,MIN
Lonnie Walker IV,SF,SAS,7.192982456140351,0.2982456140350877,0.7017543859649122,1.105263157894737,2.7017543859649122,0.8070175438596491,2.7719298245614037,6.4,0.9824561403508771,1.2999999999999998,0.6666666666666666,1.7000000000000002,0.433,0.751,0.395,18.2,18.200000000000003
De'Anthony Melton,PG,MEM,7.186440677966102,0.4067796610169492,1.305084745762712,3.1016949152542375,3.406779661016949,1.5084745762711864,2.610169491525424,6.3,1.305084745762712,1.6,0.6610169491525424,2.1,0.414,0.812,0.318,19.8,19.8
Saddiq Bey,SF,DET,8.278688524590164,0.8032786885245902,0.9016393442622951,1.7049180327868851,3.7049180327868854,1.098360655737705,3.0491803278688523,6.8,1.2295081967213115,1.5999999999999999,0.9508196721311475,0.9508196721311475,0.449,0.767,0.341,24.1,24.099999999999998
JR Smith,SG,LAL,,,,,,,,,,,,,,,,,
Marvin Williams,PF,MIL,8.158730158730158,0.6031746031746031,0.7936507936507936,1.2063492063492063,4.095238095238095,0.6031746031746031,2.873015873015873,6.6000000000000005,0.9841269841269841,1.2,1.4285714285714286,3.8000000000000003,0.436,0.824,0.374,23.8,23.8
Dennis Smith Jr.,PG,NYK,10.574074074074074,0.2962962962962963,1.0,4.092592592592593,2.9074074074074074,2.4074074074074074,4.074074074074074,10.3,1.4259259259259258,2.3000000000000003,1.0,3.2,0.395,0.616,0.313,23.5,23.5
Dwyane Wade,SG,MIA,,,,,,,,,,,,,,,,,
DeAndre' Bembry,SF,TOR,7.583333333333333,0.5,1.4,2.3,4.2,1.7,3.0833333333333335,6.9,0.9,1.5,0.5166666666666667,1.9,0.448,0.599,0.27,24.0,24.0
Robert Williams III,PF,BOS,4.173913043478261,1.5,0.6956521739130435,0.8043478260869565,4.5,0.8043478260869565,1.8043478260869565,2.6,0.5652173913043478,1.0,,,0.694,0.564,,14.1,14.1
Aleksej Pokusevski,PF,OKC,7.433333333333334,0.6,0.4,1.9,4.1,1.4,2.6333333333333333,5.9,0.8166666666666667,1.1,1.35,1.35,0.447,0.749,0.345,21.1,21.1
Jeremy Lin,PG,TOR,,,,,,,,,,,,,,,,,
Gorgui Dieng,C,MEM,6.796875,0.703125,0.703125,1.09375,5.0,0.90625,2.578125,5.4,1.078125,1.4,0.5625,1.6,0.476,0.774,0.348,16.1,16.1
Metta World Peace,SF,LAL,,,,,,,,,,,,,,,,,
Juan Hernangomez,PF,MIN,5.559322033898305,0.2033898305084746,0.4067796610169492,0.7966101694915254,3.7966101694915255,0.5932203389830508,1.9152542372881356,4.6,0.8813559322033898,1.3,0.847457627118644,2.5,0.415,0.677,0.342,17.6,17.6
Kyle Korver,SF,MIL,7.672413793103448,0.20689655172413793,0.39655172413793105,1.206896551724138,2.206896551724138,0.7931034482758621,2.5689655172413794,6.0,0.6724137931034483,0.7999999999999999,1.8620689655172413,4.5,0.427,0.842,0.412,18.3,18.3
Landry Shamet,SG,BKN,8.5625,0.09375,0.40625,1.5,1.703125,0.59375,2.8125,6.6,0.9375,1.1,2.0,4.9,0.426,0.855,0.409,23.1,23.1
Josh Green,SG,DAL,9.21875,0.40625,1.0,0.90625,3.703125,1.40625,3.09375,7.1,1.40625,1.8,1.625,1.625,0.436,0.783,0.353,21.7,21.7
Al-Farouq Aminu,PF,ORL,8.263157894736842,0.5087719298245614,0.8947368421052632,1.1929824561403508,6.894736842105263,1.0,2.807017543859649,7.0,1.456140350877193,1.7999999999999998,1.1929824561403508,3.5,0.401,0.805,0.339,27.1,27.1
Avery Bradley,SG,MIA,9.24561403508772,0.19298245614035087,0.8070175438596491,1.7017543859649122,2.4035087719298245,1.1929824561403508,3.7017543859649122,8.7,0.5789473684210527,0.7,1.263157894736842,3.5,0.425,0.823,0.363,25.8,25.799999999999997
Brad Wanamaker,PG,GSW,7.555555555555555,0.20634920634920634,0.9047619047619048,2.9047619047619047,2.2063492063492065,1.2063492063492063,2.5238095238095237,5.7,1.8571428571428572,2.0,0.6507936507936508,1.7,0.443,0.925,0.381,21.1,21.099999999999998
Frank Ntilikina,PG,NYK,6.571428571428571,0.30158730158730157,1.0,3.3015873015873014,2.3968253968253967,1.507936507936508,2.5238095238095237,6.8,0.7301587301587301,0.9,0.7936507936507936,2.6,0.371,0.817,0.305,23.5,23.5
Frank Kaminsky,C,SAC,10.172413793103448,0.29310344827586204,0.39655172413793105,1.793103448275862,4.103448275862069,0.896551724137931,3.586206896551724,8.0,1.8103448275862069,2.5,1.1896551724137931,3.3000000000000003,0.449,0.724,0.36,20.6,20.599999999999998
Sekou Doumbouya,PF,DET,8.425925925925926,0.2962962962962963,0.7037037037037037,0.5925925925925926,4.0,1.2037037037037037,3.185185185185185,7.9,1.1111111111111112,1.6,0.9444444444444444,3.3,0.403,0.692,0.285,25.0,25.0
Nickeil Alexander-Walker,SG,NOP,10.754098360655737,0.29508196721311475,0.5081967213114754,3.19672131147541,3.5081967213114753,1.7049180327868851,4.016393442622951,9.799999999999999,0.8688524590163934,1.2,1.8524590163934427,5.1000000000000005,0.41,0.723,0.363,21.6,21.599999999999998
Nate Robinson,PG,NOP,,,,,,,,,,,,,,,,,
Isaiah Stewart,C,DET,7.754098360655738,1.0,0.6065573770491803,0.7049180327868853,5.098360655737705,1.6065573770491803,2.6557377049180326,5.2,2.4098360655737703,3.1,0.03278688524590164,0.03278688524590164,0.511,0.777,0.334,21.8,21.8
Anfernee Simons,SG,POR,10.2,0.2,0.4,1.7076923076923076,2.5076923076923077,1.1076923076923078,3.8,9.0,1.2923076923076924,1.6,1.3076923076923077,3.8,0.423,0.806,0.343,23.7,23.7
Dirk Nowitzki,PF,DAL,,,,,,,,,,,,,,,,,
Maurice Harkless,SF,MIA,6.370967741935484,0.6935483870967742,1.0,1.096774193548387,3.903225806451613,0.8064516129032258,2.532258064516129,5.1,0.6935483870967742,1.1,0.6129032258064516,1.7999999999999998,0.495,0.632,0.341,22.9,22.9
Rondae Hollis-Jefferson,PF,MIN,9.017857142857142,0.5,0.8035714285714286,1.8035714285714286,5.303571428571429,1.1964285714285714,3.3392857142857144,7.3999999999999995,2.232142857142857,3.1,0.10714285714285714,0.6,0.451,0.72,0.179,21.4,21.400000000000002
Thanasis Antetokounmpo,SF,MIL,4.92,0.1,0.5,0.8,1.7,1.0,2.02,3.9,0.74,1.2,0.14,0.6,0.516,0.622,0.249,9.5,9.5
Bismack Biyombo,C,CHA,6.809523809523809,1.0,0.20634920634920634,0.9047619047619048,6.0,1.0,2.6031746031746033,4.8,1.6031746031746033,2.6,,,0.541,0.617,,19.4,19.400000000000002
JaMychal Green,PF,DEN,6.859375,0.40625,0.5,0.703125,6.0,0.90625,2.46875,5.7,0.75,1.0,1.171875,3.2,0.433,0.749,0.366,19.7,19.7
Isaac Bonga,SF,WAS,3.933333333333333,0.3,0.6,1.0,2.8,0.6,1.4166666666666667,2.9,0.8,1.0,0.3,0.8,0.491,0.798,0.374,15.6,15.6
Kostas Antetokounmpo,PF,LAL,,,,,,,,,,,,,,,,,
Cassius Winston,PG,WAS,,,,,,,,,,,,,,,,,
Damion Lee,SG,GSW,8.60344827586207,0.10344827586206896,0.7068965517241379,1.706896551724138,3.293103448275862,0.896551724137931,2.9827586206896552,7.1000000000000005,1.4655172413793103,1.7,1.1724137931034482,3.3000000000000003,0.42,0.864,0.354,19.8,19.8
Vince Carter,SF,ATL,,,,,,,,,,,,,,,,,
Terence Davis II,SG,TOR,9.283582089552239,0.19402985074626866,0.5970149253731343,2.0,4.104477611940299,1.1940298507462686,3.417910447761194,7.300000000000001,0.8507462686567164,1.0,1.5970149253731343,4.1,0.468,0.854,0.389,20.3,20.299999999999997
Vernon Carey Jr.,C,CHA,,,,,,,,,,,,,,,,,
Chuma Okeke,PF,ORL,,,,,,,,,,,,,,,,,
Kevin Garnett,PF,MIN,,,,,,,,,,,,,,,,,
Rodney Hood,SG,POR,10.4,0.2,0.7333333333333333,1.4,2.3333333333333335,0.8,3.8,8.4,1.4666666666666666,1.7,1.3333333333333333,3.3,0.45,0.859,0.397,23.6,23.6
Furkan Korkmaz,SG,PHL,8.290322580645162,0.1935483870967742,0.5967741935483871,1.0,2.193548387096774,0.6935483870967742,2.9516129032258065,7.0,0.7580645161290323,1.0,1.6290322580645162,4.300000000000001,0.421,0.751,0.379,19.1,19.1
Immanuel Quickley,PG,NYK,,,,,,,,,,,,,,,,,
Aaron Holiday,PG,IND,7.5344827586206895,0.20689655172413793,0.603448275862069,2.5,1.793103448275862,1.0,2.7413793103448274,6.7,0.9310344827586207,1.0999999999999999,1.1206896551724137,2.9,0.408,0.85,0.386,18.0,18.0
Naz Reid,C,MIN,11.035714285714286,0.8035714285714286,0.6964285714285714,1.1964285714285714,4.607142857142857,0.6964285714285714,4.160714285714286,9.0,1.4642857142857142,2.0,1.25,3.6999999999999997,0.463,0.728,0.339,18.1,18.1
Jared Dudley,PF,LAL,2.9347826086956523,0.1956521739130435,0.391304347826087,1.0,1.8043478260869565,0.391304347826087,1.0217391304347827,2.5,0.2826086956521739,0.39999999999999997,0.6086956521739131,1.5999999999999999,0.413,0.732,0.382,13.7,13.700000000000001
Kevon Looney,PF,GSW,5.017857142857143,0.6071428571428571,0.6071428571428571,1.1964285714285714,4.303571428571429,0.6071428571428571,2.1607142857142856,3.9,0.6785714285714286,1.1,0.017857142857142856,0.3,0.554,0.619,0.087,16.1,16.1
Sviatoslav Mykhailiuk,SG,DET,8.037037037037036,0.09259259259259259,0.7037037037037037,1.7037037037037037,1.7037037037037037,1.0,2.685185185185185,6.7,0.8518518518518519,1.0999999999999999,1.8148148148148149,4.6000000000000005,0.4,0.772,0.394,21.2,21.2
Grant Williams,PF,BOS,4.6716417910447765,0.7014925373134329,0.5970149253731343,1.2985074626865671,3.4029850746268657,1.0,1.671641791044776,4.0,0.7910447761194029,1.1,0.5373134328358209,1.7999999999999998,0.417,0.725,0.298,20.2,20.200000000000003
Desmond Bane,SG,MEM,,,,,,,,,,,,,,,,,
Payton Pritchard,PG,BOS,,,,,,,,,,,,,,,,,
Meyers Leonard,C,MIA,5.719298245614035,0.19298245614035087,0.19298245614035087,1.105263157894737,4.298245614035087,0.7017543859649122,2.192982456140351,4.1,0.45614035087719296,0.6000000000000001,0.8771929824561403,2.0,0.533,0.755,0.435,16.8,16.8
Jordan Poole,SG,GSW,8.40983606557377,0.19672131147540983,0.5081967213114754,2.0,1.8032786885245902,1.098360655737705,2.8852459016393444,7.3999999999999995,1.3770491803278688,1.7,1.2622950819672132,3.9,0.391,0.813,0.322,18.9,18.900000000000002
J.J. Barea,PG,DAL,9.88,0.1,0.4,5.1,2.4,1.7,3.76,8.9,1.1,1.4,1.26,3.6,0.423,0.779,0.351,19.0,19.0
Denzel Valentine,SG,CHI,8.140625,0.203125,0.796875,2.0,3.40625,0.90625,3.171875,7.7,0.296875,0.4,1.5,4.2,0.411,0.747,0.356,19.2,19.2
Josh Jackson,SF,DET,8.925925925925926,0.5,0.7037037037037037,1.5,3.2037037037037037,1.5,3.3703703703703702,8.1,1.462962962962963,2.1999999999999997,0.7222222222222222,2.4,0.416,0.661,0.304,18.4,18.400000000000002
Thon Maker,C,CLE,5.725806451612903,0.8064516129032258,0.5,0.8064516129032258,3.5,0.8064516129032258,1.935483870967742,4.4,1.2741935483870968,1.9,0.5806451612903226,1.7999999999999998,0.439,0.671,0.321,17.2,17.200000000000003
Keldon Johnson,SF,SAS,7.2,0.2,0.8,1.0,3.0,0.6,2.683333333333333,5.6,1.4833333333333334,2.0,0.35,1.0,0.479,0.743,0.357,15.5,15.5
Udoka Azubuike,C,UTA,,,,,,,,,,,,,,,,,
Trey Lyles,PF,SAS,7.555555555555555,0.3968253968253968,0.3968253968253968,1.2063492063492063,4.904761904761905,0.7936507936507936,2.8412698412698414,6.3999999999999995,0.9206349206349206,1.3,0.9523809523809523,2.8000000000000003,0.444,0.711,0.338,19.1,19.099999999999998
Garrett Temple,SG,CHI,8.17741935483871,0.4032258064516129,0.8064516129032258,1.8064516129032258,2.806451612903226,0.9032258064516129,2.8870967741935485,7.300000000000001,0.9193548387096774,1.2000000000000002,1.4838709677419355,4.4,0.396,0.76,0.336,24.6,24.6
Jahlil Okafor,C,DET,7.8,0.7090909090909091,0.2,0.9090909090909091,4.3090909090909095,1.0,3.327272727272727,5.6,1.1090909090909091,1.7,0.03636363636363636,0.1,0.593,0.654,0.313,15.2,15.2
Tre Jones,PG,SAS,,,,,,,,,,,,,,,,,
Tyrell Terry,PG,DAL,,,,,,,,,,,,,,,,,
Paul Zipser,SF,CHI,,,,,,,,,,,,,,,,,
Carsen Edwards,PG,BOS,4.061224489795919,0.10204081632653061,0.40816326530612246,0.7959183673469388,1.5918367346938775,0.5918367346938775,1.4081632653061225,4.3,0.42857142857142855,0.5,0.8163265306122449,2.6,0.329,0.852,0.316,12.0,12.0
Grayson Allen,SG,MEM,8.483333333333333,0.1,0.2,1.4,2.0,1.0,2.9166666666666665,6.9,1.3666666666666667,1.7,1.2833333333333334,3.7,0.423,0.806,0.348,18.4,18.4
Xavier Tillman Sr.,PF,MEM,,,,,,,,,,,,,,,,,
Tyler Johnson,PG,BKN,9.169491525423728,0.4067796610169492,0.6949152542372882,2.305084745762712,2.593220338983051,1.1016949152542372,3.288135593220339,8.0,1.305084745762712,1.7,1.2881355932203389,3.8,0.411,0.767,0.337,23.4,23.4
Malachi Flynn,PG,TOR,,,,,,,,,,,,,,,,,
Doug McDermott,SF,IND,8.876923076923077,0.1076923076923077,0.2,1.0,2.1076923076923078,0.6,3.3076923076923075,6.8,0.7384615384615385,0.9,1.523076923076923,3.5,0.487,0.823,0.433,19.5,19.5
Robin Lopez,C,WAS,6.9523809523809526,0.6984126984126984,0.09523809523809523,0.9047619047619048,2.9047619047619047,1.0,3.0,5.6000000000000005,0.6666666666666666,1.0,0.2857142857142857,0.9,0.537,0.669,0.315,16.7,16.7
Pat Connaughton,SG,MIL,5.67741935483871,0.4032258064516129,0.4032258064516129,1.596774193548387,3.806451612903226,0.5967741935483871,2.1774193548387095,4.800000000000001,0.45161290322580644,0.6000000000000001,0.8709677419354839,2.5999999999999996,0.455,0.751,0.336,19.0,19.0
Dion Waiters,SG,LAL,9.903846153846153,0.19230769230769232,0.5,2.3076923076923075,2.1923076923076925,1.3076923076923077,3.7115384615384617,9.1,0.5961538461538461,1.0,1.8846153846153846,5.1,0.408,0.591,0.369,20.9,20.9
Emmanuel Mudiay,PG,UTA,10.03448275862069,0.20689655172413793,0.603448275862069,2.896551724137931,2.706896551724138,1.793103448275862,3.810344827586207,8.6,1.603448275862069,2.1,0.8103448275862069,2.4,0.444,0.765,0.335,20.2,20.2
Chris Bosh,PF,MIA,,,,,,,,,,,,,,,,,
Jordan Bell,C,LAL,5.067796610169491,0.8983050847457628,0.4067796610169492,1.5084745762711864,4.203389830508475,1.0,2.1186440677966103,3.9,0.7457627118644068,1.2,0.0847457627118644,0.3,0.543,0.624,0.282,16.1,16.099999999999998
Hamidou Diallo,SG,OKC,5.285714285714286,0.19642857142857142,0.6071428571428571,0.5,2.6964285714285716,0.8035714285714286,2.1607142857142856,4.7,0.7857142857142857,1.2,0.17857142857142858,0.7000000000000001,0.46,0.653,0.258,15.0,15.0
Tony Snell,SG,ATL,7.092307692307692,0.3076923076923077,0.5076923076923077,1.6,2.0,0.4,2.5692307692307694,5.8,0.46153846153846156,0.5,1.4923076923076923,3.7,0.444,0.916,0.402,24.3,24.3
Ryan Arcidiacono,PG,CHI,6.065573770491803,0.09836065573770492,0.7049180327868853,2.7049180327868854,2.5081967213114753,0.8032786885245902,2.098360655737705,4.8999999999999995,0.8032786885245902,1.0,1.0655737704918034,2.8000000000000003,0.428,0.807,0.38,22.2,22.2
Stephen Zimmerman,C,LAL,,,,,,,,,,,,,,,,,
Paul Pierce,SF,LAC,,,,,,,,,,,,,,,,,
Ben McLemore,SG,HOU,8.781818181818181,0.2,0.6,0.8,2.109090909090909,0.7090909090909091,3.0,6.9,0.7636363636363637,1.0,2.018181818181818,5.2,0.436,0.765,0.388,20.7,20.7
Romeo Langford,SG,BOS,3.272727272727273,0.29545454545454547,0.4090909090909091,0.29545454545454547,1.4090909090909092,0.4090909090909091,1.1363636363636365,2.8000000000000003,0.7727272727272727,1.0999999999999999,0.22727272727272727,1.0,0.404,0.707,0.233,13.4,13.4
Ersan Ilyasova,PF,MIL,7.548387096774194,0.3064516129032258,0.5,0.9032258064516129,4.903225806451613,0.6935483870967742,2.7419354838709675,6.0,1.1451612903225807,1.4,0.9193548387096774,2.5,0.456,0.814,0.367,18.3,18.299999999999997
Jevon Carter,PG,PHO,4.596774193548387,0.1935483870967742,0.6935483870967742,1.5,1.8064516129032258,0.6935483870967742,1.596774193548387,4.300000000000001,0.5,0.6000000000000001,0.9032258064516129,2.4000000000000004,0.371,0.82,0.376,15.1,15.100000000000001
Justin Jackson,SF,OKC,7.571428571428571,0.20634920634920634,0.30158730158730157,1.0952380952380953,3.0,0.30158730158730157,2.8412698412698414,6.7,0.8095238095238095,1.0,1.0793650793650793,3.3000000000000003,0.424,0.802,0.328,20.9,20.900000000000002
Cassius Stanley,SG,IND,,,,,,,,,,,,,,,,,
Jaden McDaniels,SF,MIN,,,,,,,,,,,,,,,,,
Goga Bitadze,C,IND,4.435483870967742,0.9032258064516129,0.1935483870967742,0.5967741935483871,2.693548387096774,0.6935483870967742,1.7741935483870968,3.7,0.6612903225806451,0.8999999999999999,0.22580645161290322,1.0,0.48,0.738,0.226,11.7,11.7
Daniel Gafford,C,CHI,4.75,1.5,0.3958333333333333,0.6041666666666666,3.0,0.7916666666666666,1.9166666666666667,3.8000000000000003,0.9166666666666666,1.7,,,0.505,0.534,0.015,17.1,17.099999999999998
E'Twaun Moore,SG,PHO,9.365079365079366,0.20634920634920634,0.6031746031746031,1.6031746031746033,2.3015873015873014,0.9047619047619048,3.7936507936507935,8.200000000000001,0.5714285714285714,0.7999999999999999,1.2063492063492063,3.0,0.463,0.711,0.403,21.8,21.8
Dwayne Bacon,SG,ORL,6.389830508474576,0.1016949152542373,0.5084745762711864,1.305084745762712,2.593220338983051,0.7966101694915254,2.4745762711864407,6.3,0.8305084745762712,1.2,0.6101694915254238,1.8,0.392,0.695,0.339,18.8,18.8
Matthew Dellavedova,PG,CLE,4.233333333333333,,0.4,3.6,1.5,1.2,1.4833333333333334,4.0,0.6833333333333333,0.8,0.5833333333333334,2.1,0.369,0.849,0.281,16.5,16.5
Quinn Cook,PG,LAL,5.913793103448276,,0.29310344827586204,1.293103448275862,1.603448275862069,0.7068965517241379,2.413793103448276,5.3,0.22413793103448276,0.3,0.8620689655172413,2.1999999999999997,0.454,0.729,0.395,12.6,12.6
Wang Zhelin,C,MEM,,,,,,,,,,,,,,,,,
Zhou Qi,C,HOU,,,,,,,,,,,,,,,,,
Semi Ojeleye,PF,BOS,3.8870967741935485,0.0967741935483871,0.3064516129032258,0.5967741935483871,2.403225806451613,0.3064516129032258,1.3387096774193548,3.3,0.5161290322580645,0.7,0.6935483870967742,2.0,0.406,0.743,0.346,17.2,17.200000000000003
Willy Hernangomez,C,NOP,8.381818181818181,0.4,0.4,1.2,6.109090909090909,1.309090909090909,3.1818181818181817,6.0,1.7636363636363637,2.7,0.2545454545454545,0.9,0.529,0.654,0.281,16.5,16.5
Michael Carter-Williams,PG,ORL,5.923076923076923,0.5,0.9038461538461539,2.4038461538461537,3.0,1.0,2.0384615384615383,5.1,1.4615384615384615,1.9,0.38461538461538464,1.4,0.399,0.77,0.268,16.7,16.7
Joakim Noah,C,LAC,,,,,,,,,,,,,,,,,
Mike Scott,PF,PHL,6.268656716417911,0.1044776119402985,0.29850746268656714,0.8059701492537313,3.5074626865671643,0.5970149253731343,2.3582089552238807,5.5,0.373134328358209,0.5,1.1791044776119404,3.0999999999999996,0.429,0.748,0.38,17.8,17.799999999999997
Jordan McRae,SG,DET,10.072727272727272,0.4,0.6,2.109090909090909,2.709090909090909,1.0,3.5636363636363635,8.4,1.9272727272727272,2.5,1.018181818181818,2.8,0.424,0.774,0.362,18.5,18.5
Jamal Crawford,SG,BKN,,,,,,,,,,,,,,,,,
Omari Spellman,PF,NYK,7.4363636363636365,0.509090909090909,0.6,1.0,4.4,1.0,2.672727272727273,5.8,1.2363636363636363,1.6,0.8545454545454545,2.4,0.461,0.776,0.359,17.9,17.9
John Henson,C,DET,6.472727272727273,1.1090909090909091,0.6,1.4,5.0,1.0,2.7636363636363637,5.0,0.7454545454545455,1.4,0.2,0.8,0.552,0.538,0.26,18.2,18.2
Udonis Haslem,PF,MIA,,,,,,,,,,,,,,,,,
Shaquille Harrison,SG,UTA,6.47457627118644,0.4067796610169492,1.1016949152542372,1.7966101694915255,2.7966101694915255,0.6949152542372882,2.4745762711864407,5.5,1.1355932203389831,1.6,0.3898305084745763,1.2,0.449,0.712,0.321,17.3,17.3
Zeke Nnaji,PF,DEN,,,,,,,,,,,,,,,,,
Lance Stephenson,SF,LAL,,,,,,,,,,,,,,,,,
Manu Ginobili,SG,SAS,,,,,,,,,,,,,,,,,
Ian Mahinmi,C,WAS,5.890625,0.796875,0.703125,1.0,4.796875,1.09375,2.15625,4.3,1.484375,2.3,0.09375,0.5,0.5,0.648,0.188,17.9,17.9
Mario Hezonja,SF,MEM,7.048387096774194,0.1935483870967742,0.8064516129032258,1.1935483870967742,3.693548387096774,1.096774193548387,2.629032258064516,6.199999999999999,1.1129032258064515,1.4,0.6774193548387096,2.2,0.423,0.796,0.305,19.0,19.0
Dragan Bender,PF,GSW,4.56140350877193,0.5087719298245614,0.2982456140350877,1.1929824561403508,3.4035087719298245,0.8947368421052632,1.7017543859649122,4.1,0.43859649122807015,0.7,0.7192982456140351,2.3,0.413,0.632,0.316,16.3,16.3
Chandler Hutchison,SF,CHI,7.824561403508772,0.19298245614035087,0.8947368421052632,1.0,4.807017543859649,0.8947368421052632,3.0,6.6,1.368421052631579,2.3,0.45614035087719296,1.5,0.454,0.593,0.308,23.2,23.200000000000003
Jordan Nwora,SF,MIL,,,,,,,,,,,,,,,,,
Nassir Little,SF,POR,5.444444444444445,0.3968253968253968,0.3968253968253968,0.6984126984126984,3.2063492063492065,0.5079365079365079,2.015873015873016,4.5,0.8888888888888888,1.3,0.5238095238095238,1.8,0.447,0.68,0.292,17.3,17.3
Joe Young,PG,IND,,,,,,,,,,,,,,,,,
Allen Crabbe,SG,MIN,8.241935483870968,0.3064516129032258,0.5,1.096774193548387,3.0,0.8064516129032258,2.838709677419355,7.5,0.7903225806451613,1.0,1.7741935483870968,5.0,0.379,0.783,0.356,23.1,23.1
DeMarre Carroll,SF,HOU,9.592592592592593,0.2037037037037037,0.5,1.2962962962962963,4.703703703703703,1.0925925925925926,3.0,7.5,2.240740740740741,3.0,1.3518518518518519,3.9,0.401,0.747,0.345,22.6,22.6
Terrance Ferguson,SG,PHL,5.076923076923077,0.3076923076923077,0.5076923076923077,0.8,1.5076923076923077,0.5076923076923077,1.8153846153846154,4.5,0.38461538461538464,0.5,1.0615384615384615,3.2,0.404,0.76,0.332,22.7,22.7
Dylan Windler,SF,CLE,,,,,,,,,,,,,,,,,
Ed Davis,PF,MIN,4.444444444444445,0.5079365079365079,0.3968253968253968,0.6031746031746031,7.0,0.6984126984126984,1.7936507936507937,3.1,0.8571428571428571,1.4000000000000001,,,0.581,0.615,,16.1,16.099999999999998
Pau Gasol,C,POR,,,,,,,,,,,,,,,,,
Brandon Knight,PG,DET,8.321428571428571,0.10714285714285714,0.6071428571428571,2.607142857142857,1.8035714285714286,1.3035714285714286,2.892857142857143,7.8,0.8035714285714286,1.2,1.7321428571428572,5.1000000000000005,0.371,0.667,0.34,21.4,21.400000000000002
Michael Kidd-Gilchrist,SF,NYK,6.52,0.5,0.5,0.9,3.8,0.7,2.54,5.5,1.26,1.7,0.18,0.6,0.462,0.743,0.297,19.2,19.2
Noah Vonleh,PF,CHI,6.148148148148148,0.5,0.5,1.2962962962962963,6.0,0.9074074074074074,2.2962962962962963,4.7,1.1481481481481481,1.6,0.4074074074074074,1.3,0.487,0.721,0.311,18.6,18.599999999999998
Kyle Guy,SG,SAC,,,,,,,,,,,,,,,,,
Reggie Bullock,SF,NYK,7.892857142857143,0.10714285714285714,0.6071428571428571,1.3035714285714286,2.0,0.6071428571428571,2.875,6.8,0.6785714285714286,0.7999999999999999,1.4642857142857142,3.9,0.423,0.844,0.377,21.1,21.099999999999998
Kenrich Williams,SF,OKC,4.830508474576271,0.5084745762711864,0.7966101694915254,1.5932203389830508,4.694915254237288,0.5932203389830508,1.8644067796610169,4.7,0.2542372881355932,0.5,0.847457627118644,2.9,0.396,0.518,0.294,21.6,21.6
Elijah Hughes,SG,UTA,,,,,,,,,,,,,,,,,
Nick Young,SG,DEN,,,,,,,,,,,,,,,,,
Torrey Craig,SF,MIL,5.2631578947368425,0.5964912280701754,0.40350877192982454,0.8070175438596491,3.2982456140350878,0.5087719298245614,2.0,4.4,0.543859649122807,0.8,0.7192982456140351,2.2,0.453,0.67,0.325,18.4,18.4
Isaiah Joe,SG,PHL,,,,,,,,,,,,,,,,,
Rodions Kurucs,PF,BKN,7.206896551724138,0.29310344827586204,0.603448275862069,1.0,3.603448275862069,1.206896551724138,2.706896551724138,5.8999999999999995,0.8793103448275862,1.2,0.9137931034482759,2.6,0.458,0.729,0.35,18.6,18.599999999999998
Nicolas Claxton,PF,BKN,5.894736842105263,0.7017543859649122,0.10526315789473684,1.4035087719298245,3.807017543859649,0.8070175438596491,2.3859649122807016,4.2,0.9824561403508771,1.7999999999999998,0.14035087719298245,0.6000000000000001,0.569,0.542,0.233,16.4,16.4
Dante Exum,PG,CLE,6.045454545454546,0.29545454545454547,0.5,1.7045454545454546,2.2954545454545454,1.2045454545454546,2.1136363636363638,4.6000000000000005,1.2727272727272727,1.7,0.5454545454545454,1.6,0.461,0.755,0.339,17.4,17.400000000000002
Frank Jackson,PG,OKC,6.629032258064516,0.0967741935483871,0.3064516129032258,0.9032258064516129,1.6935483870967742,0.8064516129032258,2.435483870967742,5.9,0.9193548387096774,1.2000000000000002,0.8387096774193549,2.5,0.412,0.767,0.333,15.3,15.3
Timothe Luwawu-Cabarrot,SF,BKN,6.283333333333333,0.2,0.4,0.7,2.3,0.8,2.066666666666667,5.3,1.1333333333333333,1.4,1.0166666666666666,3.0,0.391,0.811,0.341,17.6,17.6
Cristiano Felicio,C,CHI,4.285714285714286,0.10714285714285714,0.30357142857142855,0.6964285714285714,4.107142857142857,0.6964285714285714,1.7142857142857142,3.0,0.8571428571428571,1.2,,0.09999999999999999,0.573,0.707,,15.2,15.200000000000001
Jake Layman,SF,MIN,7.232142857142857,0.39285714285714285,0.5,0.6964285714285714,2.5,0.6964285714285714,2.857142857142857,6.0,0.7142857142857143,1.0,0.8035714285714286,2.5,0.477,0.716,0.323,17.9,17.9
Jimmer Fredette,SG,PHO,,,,,,,,,,,,,,,,,
Wilson Chandler,SF,BKN,6.298245614035087,0.40350877192982454,0.5087719298245614,1.4035087719298245,4.105263157894737,0.8947368421052632,2.3684210526315788,5.6,0.543859649122807,0.7,1.0175438596491229,3.0,0.422,0.788,0.339,22.1,22.1
Evan Turner,SF,MIN,5.982142857142857,0.30357142857142855,0.5,2.8035714285714284,3.3035714285714284,1.3928571428571428,2.4285714285714284,5.5,0.9285714285714286,1.2,0.19642857142857142,0.7999999999999999,0.443,0.77,0.252,19.8,19.8
Mike Muscala,C,OKC,6.0,0.4067796610169492,0.3050847457627119,1.0,3.2033898305084745,0.5932203389830508,2.016949152542373,4.9,0.7627118644067796,0.9,1.2033898305084745,3.4,0.413,0.841,0.355,16.5,16.5
